SNo.,Domain,Question,Option A,Option B,Option C,Option D,Correct Answer,,
1,People,A team member is consistently late to the daily stand-up. What should the Scrum Master do?,Reprimand them in front of the team,Ignore it as long as their work is done,Meet with them privately to discuss the impact on the team,Ask the Product Owner to replace them,C,,
2,People,Two senior stakeholders have conflicting requirements. What is the PM’s first step?,Choose the requirement from the more senior stakeholder,Escalate to the Sponsor,Facilitate a meeting between them to reach a consensus,Submit both to the Change Control Board (CCB),C,,
3,People,An agile team feels the Product Owner is micromanaging tasks. What should the Scrum Master do?,Tell the team to ignore the Product Owner,Ask the team to follow all instructions,Coach the Product Owner on agile roles and servant leadership,Take over the Product Owner s responsibilities,C,,
4,People,A PM is leading a global virtual team. Team members feel disconnected. What should the PM do?,Require everyone to travel to headquarters,Send more frequent status emails,Set up periodic informal virtual  coffee breaks  to build rapport,Increase the number of mandatory project meetings,C,,
5,People,A team member wants to learn a new skill not required now but useful later. What should the PM do?,Deny the request to save costs,Tell them to learn it on their own time,Support the request as it builds team capability and motivation,Replace them with someone who already has the skill,C,,
6,People,During a meeting a team member is constantly interrupted. What should the PM do?,End the meeting,Tell the members to speak louder,Intervene and ensure all voices are heard,Do nothing to avoid conflict,C,,
7,People,A team is in the Storming phase. What is the PM s role?,Delegate all decisions,Dictate all tasks strictly,Step back and let them fail,Provide high direction and support to resolve conflicts,D,,
8,People,The stakeholder is unhappy with progress. What should the PM do first?,Show them the project schedule,Ask the Sponsor to talk to them,Ignore the stakeholder,Meet with them to understand their concerns,D,,
9,People,An agile team is distracted by emergency requests from a functional manager. What should the Scrum Master do?,Tell the team to work overtime,Add requests to the current sprint,Meet with the functional manager to protect the team from interruptions,Tell the team to ignore the manager,C,,
10,People,A PM wants to empower the team. What is the best approach?,Assign every task personally,Ask for approval on every email,Make all decisions in private,Define the  what  and let the team decide the  how ,D,,
11,People,A team member is underperforming due to a personal issue. What should the PM do?,Show empathy and discuss how to support them,File a formal HR complaint,Replace them immediately,Deduct their pay,A,,
12,People,A PM is using Emotional Intelligence (EI) to manage conflict. What is the first step?,Self-awareness,Social skills,Empathy,Motivation,A,,
13,People,A stakeholder wants to give orders directly to the team. What should the PM do?,Quit the project,Tell the team to listen to the stakeholder,Explain the communication protocol to the stakeholder,Charge the stakeholder for the extra work,C,,
14,People,A PM holds a brainstorming session for complex problems. This is an example of:,Directing,Dictating,Managing,Facilitating,D,,
15,People,A PM is mentoring a junior PM. What is the best way to help?,Give them all the data entry work,Tell them to read the PMBOK Guide only,Let them fail without help,Provide feedback  guidance  and responsibility,D,,
16,People,A team member is recognized for excellent work. How should the PM reward them?,Give them more work,Do nothing,Give everyone the same reward,Use a reward system meaningful to the individual,D,,
17,People,A virtual team member is not responding to emails. What should the PM do?,Assume they are lazy,Remove them from the team,Report them to their manager,Try a different communication medium (e.g.  video call),D,,
18,People,A PM wants to ensure the team understands the vision. What should they use?,A 100-page report,A budget spreadsheet,A list of tasks,A clear and concise project vision statement,D,,
19,People,Which conflict resolution technique leads to a Win-Win ?,Collaborating/Problem Solving,Compromising,Forcing,Smoothing,A,,
20,People,A PM uses Servant Leadership. What is their primary focus?,Controlling the team,Following the rules,Pleasing the Sponsor,Supporting and enabling the team to succeed,D,,
21,People,A team is diverse. What should the PM do?,Treat everyone exactly the same  ignoring culture,Promote cultural awareness and respect differences,Only hire people from one culture,Force everyone to adopt the PM s culture,B,,
22,People,A team member does not follow ground rules. What should the PM do?,Change the rules,Ignore it,Publicly shame them,Remind the member of the agreed-upon rules,D,,
23,People,A PM wants to foster transparency in Agile. What is the best tool?,Private emails,Monthly status reports,Locked spreadsheets,A public Kanban board,D,,
24,People,A stakeholder is worried about a specific risk. What should the PM do?,Involve the stakeholder in the risk analysis,Tell them not to worry,Hide the risk,Blame someone else,A,,
25,People,A team member is Over-allocated. What should the PM do?,Make them work 80 hours a week,Tell them to work faster,Hire a new team,Use resource leveling or prioritize tasks,D,,
26,People,A PM is leading a team of experts. Which leadership style is best?,Autocratic,Directing,Micro-managing,Participative/Laissez-faire,D,,
27,People,A project is being closed. What should the PM do for the team?,Celebrate successes and conduct  Lessons Learned ,Stop talking to them,Give them a bad review,Start the next project immediately,A,,
