SNo.,Domain,Question,Option A,Option B,Option C,Option D,Correct Answer,,Len
126,Process,JIT :,Reduces inventory cost,Increases,Delays,Software only,A,,5
129,Process,TQM :,Quality team,Everyone,PM only,Customer,B,,5
138,Process,PDM :,FS only,All relationships (FS  SS  FF  SF),Circles,No logic,B,,5
140,Process,Lag :,Fast,Mandatory delay,Error,Risk,B,,5
145,Process,BAC :,Budget at Completion,Business,Control,Best,B,,5
146,Process,EAC :,Estimate at Completion,Early,Controlled,Activity cost,A,,5
147,Process,ETC :,Estimate to Complete,Time,Task,End,A,,5
162,Process,SOW :,Work for vendor,PM job,Roles,Vision,A,,5
173,Business,PMO :,Supportive  Controlling  Directive,Bossy,Training only,A room,A,,5
174,Business,NPV :,Positive for viability,Negative,Zero,Ignored,A,,5
175,Business,IRR :,Higher is better,Lower,Irrelevant,Agile only,A,,5
139,Process,Lead :,PM,Acceleration of successor,Metal,Delay,B,,6
148,Process,TCPI :,To-Complete Performance Index,Total,Percent,Time,A,,6
154,Process,Push :,Sending (e.g.  email),Finding,Meeting,Forcing,A,,6
155,Process,Pull :,Email,Accessing (e.g.  Intranet),Call,Yelling,A,,6
117,Process,Hybrid :,Combines Waterfall and Agile,Electric cars,Software only,Two PMs,A,,8
127,Process,Kaizen :,Stop,Continuous improvement,Fast,Quality,B,,8
142,Process,PERT Beta:,(O + 4M + P) / 6,(O + M + P) / 3,Sum,/ 4,B,,10
159,Process,Tornado :,Sensitivity Analysis,Schedule,Resource,Procurement,A,,9
163,Process,Closing :,Acceptance  transition  archive,Stopping,Deleting,Firing,A,,9
176,Business,Payback :,Time to recover investment,Team pay,End date,Risk,A,,9
86,Process,CV formula:,EV - AC,EV - PV,AC - EV,PV - EV,A,,11
87,Process,SV formula:,EV - AC,EV - PV,PV - EV,AC - PV,B,,11
110,Process,DoD ensures:,Tiredness,Shared understanding of completion,Project end,Payment,B,,12
128,Process,Six Sigma :,Speed,Reducing defects,Cost,Scope,B,,11
134,Process,RTM links:,People,Requirements to deliverables,Risk to Issue,Budget to Schedule,B,,10
141,Process,Bottom-up :,Fast,Accurate but slow,Inaccurate,Sponsor work,A,,11
152,Process,Issue Log :,Risks,Current problems,Potential,Done tasks,B,,11
158,Process,Threshold :,Unacceptable risk level,Start,End,Report,B,,11
104,Process,T&M is for:,Small/quick tasks or undefined scope,Bridges,Fixed scope,Large projects,A,,11
149,Process,Governance :,Laws,Framework guiding activities,PM rules,CEO orders,A,,12
151,Process,Change Log :,All work,Change request status,Risks,Stakeholders,A,,12
45,People,Coaching is:,Managing a sports team,Helping someone improve a specific skill,Telling them they are doing a bad job,Writing a report,B,,12
106,Process,A Sprint is:,Time-boxed iteration,Fast run,Meeting,Document,A,,12
107,Process,Backlog owner:,Scrum Master,Product Owner,Team,Sponsor,B,,14
111,Process,Velocity is:,Work completed per sprint,Internet speed,Duration,PM speed,A,,12
119,Process,Integration :,Hiring,Coordinating all aspects,Coding,Talking,B,,13
144,Process,Contingency :,Unknown,Known-Unknowns,Customer,Scope,B,,13
156,Process,Interactive :,Multidirectional,One-way,Report,Sign,B,,13
161,Process,Make-or-Buy :,Internal vs. External decision,Price,Vendor choice,Profit,B,,13
166,Process,Ultimate goal:,Docs,Value delivery,Schedule,Budget,B,,14
44,People,Mentoring is:,Telling someone what to do,A long-term professional relationship focused on growth,A one-time meeting,Formal training,B,,13
69,People,A Blocker is:,A team member,Anything stopping the team,A finished task,A project goal,B,,13
121,Process,Benchmarking :,Benches,Comparing to other projects,Testing,Budgeting,B,,14
130,Process,COQ includes:,Prevention  appraisal  failure,Price only,PM salary,Testing price,A,,13
135,Process,Work Package :,Lowest WBS level,Box,Task,Phase,A,,14
137,Process,Rolling Wave :,End only,Near term detailed  future high level,No plan,Surfing,B,,14
164,Process,Final Report :,Performance summary and benefits,All emails,Resume,Meeting list,A,,14
125,Process,Control Chart :,Process stability,Schedule,Budget,Performance,A,,15
150,Process,Configuration :,Product specs and documentation,Hardware,Hiring,Budget,B,,15
157,Process,Risk Appetite :,Hunger,Willingness to take uncertainty,Avoiding,Taking all,A,,15
169,Business,Business Case :,Benefits vs. Investment,PM preference,Team skill,Schedule,A,,15
89,Process,Scope Creep is:,Insects,Uncontrolled scope expansion,Good thing,Planned change,B,,15
100,Process,Crashing means:,Adding resources to shorten time,Parallel tasks,Deleting tasks,Faster work,B,,15
105,Process,Procurement is:,Hiring PM,Purchasing outside goods/services,Team management,Selling,B,,15
114,Process,A Spike is for:,Bug fix,Research/Investigation,Feature build,Celebration,B,,15
168,Business,Business Value :,Tangible and intangible elements,Profit only,Price,Employees,A,,16
90,Process,Gold Plating is:,Actual gold,Adding unrequested features,Following scope,Expensive resources,B,,16
109,Process,User Story format:,As a [user]  I want [action]  so that [value],Now,Task list,Deadline,A,,18
122,Process,Monte Carlo for:,Gambling,Simulating risk outcomes,Scheduling,Quality,B,,16
133,Process,Scope Statement :,Budget,Deliverables  assumptions  exclusions,Schedule,Team,B,,17
82,Process,A CPI of 0.8 means:,Under budget,Over budget (only $0.80 value per $1 spent),Ahead of schedule,80% done,B,,19
136,Process,Planning Package :,Gift,WBS component with known content but no activities,Task,Plan,B,,18
178,Business,Compliance Audit :,Following regulations,PM working,Team happy,Pretty product,A,,18
83,Process,An SPI of 1.2 means:,Behind schedule,Ahead of schedule,Over budget,PM is young,B,,20
98,Process,Pareto Chart rule:,80/20,50/50,100%,PM s rule,A,,18
113,Process,Kanban focuses on:,Visualizing and WIP limits,Sprints,Roles,Estimating,A,,18
123,Process,Resource Leveling :,May delay project to balance load,Speed up,Lower cost,Increase scope,A,,19
108,Process,Sprint Backlog owner:,PO,Team,SM,PMO,B,,21
116,Process,Planning Poker use:,Gambling,Estimating user stories,Choosing PM,Risks,B,,19
124,Process,Resource Smoothing :,Changes critical path,Uses available float  no delay,Balances,Budget affect,B,,20
143,Process,Management Reserve :,Known,Unknown-Unknowns,Known-Unknowns,Bonus,A,,20
153,Process,Communication Plan :,Who  what  when  how,Cost,Speaker,Phones,B,,20
160,Process,Bidder Conferences :,Meet team,Common understanding for sellers,Lowest price,Customer happy,A,,20
